scheme,operation,message_type,time,data_size
Boneh-Franklin,setup,system,3.743171691894531e-05,0
Boneh-Franklin,extract,key_extract,4.871686299641927e-05,17
Boneh-Franklin,extract,key_extract,3.0120213826497395e-05,18
Boneh-Franklin,extract,key_extract,3.0040740966796875e-05,22
Boneh-Boyen,setup,system,6.834665934244792e-06,0
Boneh-Boyen,extract,key_extract,0.04322210947672526,17
Boneh-Boyen,extract,key_extract,0.043046156565348305,18
Boneh-Boyen,extract,key_extract,0.0429683526357015,22
Boneh-Boyen,encrypt,短消息,0.04625542958577474,10
Boneh-Boyen,decrypt,短消息,0.0001662572224934896,10
Boneh-Boyen,encrypt,中等消息,0.045833587646484375,122
Boneh-Boyen,decrypt,中等消息,0.0002158482869466146,122
Boneh-Boyen,encrypt,长消息,0.04325000445048014,355
Boneh-Boyen,decrypt,长消息,0.0001480579376220703,355
Sakai-Kasahara,setup,system,4.6888987223307294e-06,0
Sakai-Kasahara,extract,key_extract,0.032204389572143555,17
Sakai-Kasahara,extract,key_extract,0.032223780949910484,18
Sakai-Kasahara,extract,key_extract,0.03171277046203613,22
Sakai-Kasahara,encrypt,短消息,0.037407239278157554,10
Sakai-Kasahara,decrypt,短消息,3.0517578125e-05,10
Sakai-Kasahara,encrypt,中等消息,0.03210806846618652,122
Sakai-Kasahara,decrypt,中等消息,2.0742416381835938e-05,122
Sakai-Kasahara,encrypt,长消息,0.03229602177937826,355
Sakai-Kasahara,decrypt,长消息,2.185503641764323e-05,355
