scheme,data_size,operation,time,ciphertext_size
ElGamal,0,key_gen,0.073141900007613,0
ElGamal,16,encrypt,0.001286709999840241,136
ElGamal,16,decrypt,0.0007478699990315363,136
ElGamal,32,encrypt,0.0012176599993836135,136
ElGamal,32,decrypt,0.0007137800013879314,136
ECC,0,key_gen,0.037015849999443164,0
ECC,16,encrypt,0.002524730000004638,113
ECC,16,decrypt,0.00020518000092124568,113
ECC,128,encrypt,0.00021985999919706955,225
ECC,128,decrypt,0.00022156999912112952,225
ECC,1024,encrypt,0.0002070399990770966,1121
ECC,1024,decrypt,0.0002324500004760921,1121
ECC,10240,encrypt,0.0002382000006036833,10337
ECC,10240,decrypt,0.00024696000036783516,10337
SM2,0,key_gen,6.170000415295363e-06,0
SM2,16,encrypt,0.00022401000023819506,48
SM2,16,decrypt,1.370999962091446e-05,48
SM2,128,encrypt,1.82100004167296e-05,160
SM2,128,decrypt,1.174000062746927e-05,160
SM2,1024,encrypt,1.9479999900795518e-05,1056
SM2,1024,decrypt,1.370999962091446e-05,1056
SM2,10240,encrypt,2.9490000451914965e-05,10272
SM2,10240,decrypt,2.8710000333376228e-05,10272
