scheme,data_size,operation,time,ciphertext_size
ECC,0,key_gen,0.0749646822611491,0
ECC,128,encrypt,0.0028704007466634116,225
ECC,128,decrypt,0.000314633051554362,225
ECC,1024,encrypt,0.00022323926289876303,1121
ECC,1024,decrypt,0.00021751721700032553,1121
ElGamal,0,key_gen,0.02458930015563965,0
ElGamal,128,encrypt,0.001135110855102539,136
ElGamal,128,decrypt,0.0006848573684692383,136
ElGamal,1024,encrypt,0.0011897087097167969,136
ElGamal,1024,decrypt,0.0007506608963012695,136
SM2,0,key_gen,5.253156026204427e-05,0
SM2,128,encrypt,0.0009415149688720703,160
SM2,128,decrypt,5.793571472167969e-05,160
SM2,1024,encrypt,5.253156026204427e-05,1056
SM2,1024,decrypt,0.0002377033233642578,1056
